epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,5196.83,0.78474,0.62828,0.87227,0.58591,0.49096,0.52713,0.38283,1.3023,1.90262,0.97226,3.4227e-06,3.4227e-06,3.4227e-06
137,5234.34,0.79588,0.63957,0.87688,0.60006,0.48904,0.52806,0.38297,1.30321,1.90653,0.97211,3.11268e-06,3.11268e-06,3.11268e-06
138,5271.8,0.78545,0.62847,0.8715,0.60638,0.4921,0.52953,0.3874,1.27721,1.89908,0.96662,2.82345e-06,2.82345e-06,2.82345e-06
139,5309.25,0.79079,0.63063,0.87437,0.60704,0.49387,0.52679,0.38303,1.31627,1.91186,0.9755,2.55513e-06,2.55513e-06,2.55513e-06
140,5346.69,0.76767,0.61581,0.86662,0.59341,0.4984,0.52499,0.38008,1.3382,1.93146,0.98026,2.30784e-06,2.30784e-06,2.30784e-06
141,5386.77,0.73304,0.57234,0.86326,0.55695,0.49556,0.52089,0.37822,1.30643,1.98836,0.97828,2.08169e-06,2.08169e-06,2.08169e-06
142,5423.67,0.70967,0.52904,0.86202,0.55686,0.49634,0.52101,0.37575,1.35164,2.01348,0.98888,1.87678e-06,1.87678e-06,1.87678e-06
143,5460.5,0.68254,0.51556,0.85089,0.55183,0.49496,0.52206,0.37529,1.36485,1.97334,0.99248,1.6932e-06,1.6932e-06,1.6932e-06
144,5497.07,0.68673,0.5141,0.85379,0.54201,0.50407,0.51905,0.37295,1.37333,1.96519,0.99415,1.53102e-06,1.53102e-06,1.53102e-06
145,5533.8,0.67384,0.49625,0.851,0.55122,0.50055,0.5184,0.37179,1.37828,1.97523,0.99389,1.39032e-06,1.39032e-06,1.39032e-06
146,5570.38,0.6573,0.48721,0.84569,0.54587,0.50212,0.51836,0.37437,1.35137,1.95734,0.98727,1.27117e-06,1.27117e-06,1.27117e-06
147,5607.03,0.66241,0.48896,0.84649,0.53989,0.50485,0.5179,0.37472,1.34621,1.96115,0.98675,1.1736e-06,1.1736e-06,1.1736e-06
148,5643.67,0.66155,0.49001,0.84673,0.54061,0.50707,0.51877,0.37283,1.3666,1.94919,0.99004,1.09768e-06,1.09768e-06,1.09768e-06
149,5680.41,0.65622,0.485,0.84875,0.54079,0.50699,0.5182,0.37262,1.36709,1.96456,0.98916,1.04342e-06,1.04342e-06,1.04342e-06
150,5716.91,0.6573,0.48414,0.84977,0.54804,0.50462,0.5188,0.37334,1.3584,1.95951,0.98683,1.01086e-06,1.01086e-06,1.01086e-06
